Accession Number,Domain,Phylum,E-value,score,bias,description of target
A1Y1T7_DROIM,Eukarya,Arthropoda,2.90E-34,128.4,0.6,Oskar OS=Drosophila immigrans GN=osk PE=4 SV=1
F2WJY6_9HYME,Eukarya,Arthropoda,3.50E-34,128.2,0.9,Oskar (Fragment) OS=Messor pergandei PE=2 SV=1
B4JTJ1_DROGR,Eukarya,Arthropoda,5.00E-34,127.6,0.1,GH23955 OS=Drosophila grimshawi GN=Dgri\GH23955 PE=4 SV=1
F4WQN7_ACREC,Eukarya,Arthropoda,8.10E-34,127,0.9,Maternal effect protein oskar OS=Acromyrmex echinatior GN=G5I_08127 PE=4 SV=1
E2A7I8_CAMFO,Eukarya,Arthropoda,2.80E-33,125.2,0.4,Putative uncharacterized protein OS=Camponotus floridanus GN=EAG_03874 PE=4 SV=1
W8CE30_CERCA,Eukarya,Arthropoda,5.80E-33,124.2,0.3,Maternal effect protein oskar OS=Ceratitis capitata GN=OSKA PE=2 SV=1
A0A0A1XRQ4_BACCU,Eukarya,Arthropoda,7.50E-33,123.9,0.4,Maternal effect protein oskar OS=Bactrocera cucurbitae GN=osk PE=4 SV=1
B4N815_DROWI,Eukarya,Arthropoda,8.10E-33,123.8,0.3,Uncharacterized protein OS=Drosophila willistoni GN=Dwil\GK11117 PE=4 SV=2
A0A026WMY1_CERBI,Eukarya,Arthropoda,2.40E-32,122.3,0.7,Maternal effect protein oskar OS=Cerapachys biroi GN=X777_01612 PE=4 SV=1
E9IZ46_SOLIN,Eukarya,Arthropoda,2.50E-32,122.2,0.1,Putative uncharacterized protein (Fragment) OS=Solenopsis invicta GN=SINV_01516 PE=4 SV=1
A0A034WRF5_BACDO,Eukarya,Arthropoda,2.70E-32,122.1,0.5,Maternal effect protein oskar OS=Bactrocera dorsalis GN=OSKA PE=4 SV=1
A0A0K8U7J3_BACLA,Eukarya,Arthropoda,5.70E-32,121,0.5,Maternal effect protein oskar OS=Bactrocera latifrons GN=osk_2 PE=4 SV=1
Q2PP79_AEDAE,Eukarya,Arthropoda,6.30E-32,120.9,0.1,Oskar OS=Aedes aegypti PE=4 SV=1
B4K9E5_DROMO,Eukarya,Arthropoda,8.60E-32,120.5,0.1,Uncharacterized protein OS=Drosophila mojavensis GN=Dmoj\GI10055 PE=4 SV=2
B4LXK5_DROVI,Eukarya,Arthropoda,1.20E-31,120,0.1,Oskar OS=Drosophila virilis GN=osk PE=4 SV=1
A0A0M4F3M8_DROBS,Eukarya,Arthropoda,1.80E-31,119.4,0.4,Osk OS=Drosophila busckii GN=Dbus_chr3Rg607 PE=4 SV=1
A0A0L0CP24_LUCCU,Eukarya,Arthropoda,2.90E-31,118.8,1.5,Uncharacterized protein OS=Lucilia cuprina GN=FF38_12727 PE=4 SV=1
B4PTX6_DROYA,Eukarya,Arthropoda,1.00E-30,117,0.5,Uncharacterized protein OS=Drosophila yakuba GN=Dyak\GE25914 PE=4 SV=1
B3P1W4_DROER,Eukarya,Arthropoda,2.70E-30,115.6,0.5,GG13545 OS=Drosophila erecta GN=Dere\GG13545 PE=4 SV=1
T1PG45_MUSDO,Eukarya,Arthropoda,4.20E-30,115.1,0.7,GDSL-like Lipase/Acylhydrolase OS=Musca domestica PE=2 SV=1
B4HKZ1_DROSE,Eukarya,Arthropoda,5.20E-30,114.8,0.2,GM23770 OS=Drosophila sechellia GN=Dsec\GM23770 PE=4 SV=1
Q295Q4_DROPS,Eukarya,Arthropoda,6.40E-30,114.5,0.2,"Uncharacterized protein, isoform A OS=Drosophila pseudoobscura pseudoobscura GN=Dpse\GA10627 PE=4 SV=2"
E8NH25_DROME,Eukarya,Arthropoda,7.30E-30,114.3,0.2,RE24380p (Fragment) OS=Drosophila melanogaster GN=osk-RA PE=2 SV=1
T1DTM7_ANOAQ,Eukarya,Arthropoda,1.00E-29,113.8,0,Uncharacterized protein (Fragment) OS=Anopheles aquasalis PE=2 SV=1
B3LZ06_DROAN,Eukarya,Arthropoda,2.20E-28,109.5,0.1,Uncharacterized protein OS=Drosophila ananassae GN=Dana\GF17692 PE=4 SV=1
E1A883_NASVI,Eukarya,Arthropoda,4.20E-28,108.6,0.2,Oskar OS=Nasonia vitripennis PE=2 SV=1
A0A084WRU4_ANOSI,Eukarya,Arthropoda,1.30E-27,107.1,0.1,AGAP003545-PA-like protein OS=Anopheles sinensis GN=ZHAS_00021239 PE=4 SV=1
W5JJ85_ANODA,Eukarya,Arthropoda,4.50E-27,105.3,0,Uncharacterized protein OS=Anopheles darlingi GN=AND_005442 PE=4 SV=1
Q7PQJ3_ANOGA,Eukarya,Arthropoda,6.00E-27,104.9,0,AGAP003545-PA OS=Anopheles gambiae GN=osk PE=4 SV=3
B0WIV7_CULQU,Eukarya,Arthropoda,1.30E-26,103.9,0.4,Oskar OS=Culex quinquefasciatus GN=CpipJ_CPIJ007471 PE=2 SV=1
U5EFJ8_9DIPT,Eukarya,Arthropoda,4.00E-25,99.1,0,Putative oskar (Fragment) OS=Corethrella appendiculata PE=2 SV=1
