Type,ID,Species,Family,Order,Annotation,Note
TSA,GAWC01068734.1,Aretaon asperrimus,Heteropterygidae,Phasmatodea,putative homolog identified by pipeline,Found by HMMER
TSA,GAKJ01010751.1,Sitodiplosis mosellana,Cecidomyiidae,Diptera,putative homolog identified by pipeline,Found by HMMER
TSA,GATI01010233.1,Bombylius major,Bombyliidae,Diptera,putative homolog identified by pipeline,Found by HMMER
TSA,GAWW01000144.1,Tenthredo koehleri,Tenthredinidae,Hymenoptera,putative homolog identified by pipeline,Found by HMMER
TSA,GAIW01009539.1,Ganaspis sp.,Figitidae,Hymenoptera,putative homolog identified by pipeline,Found by HMMER
TSA,GATY01008637.1,Chrysis viridula,Chrysididae,Hymenoptera,putative homolog identified by pipeline,Found by HMMER
TSA,GAXM01030263.1,Mischocyttarus flavitarsis,Vespidae,Hymenoptera,putative homolog identified by pipeline,Found by HMMER
TSA,GAFR01040300.1,Polistes canadensis,Vespidae,Hymenoptera,putative homolog identified by pipeline,Found by HMMER
TSA,GAZD01106195.1,Lipara lucens,Chloropidae,Diptera,putative homolog identified by pipeline,Found by HMMER
TSA,GAVA01002196.1,Triarthria setipennis,Tachinidae,Diptera,putative homolog identified by pipeline,Found by HMMER
TSA,GACV01001831.1,Philopotamus ludificatus,Philopotaminae,Trichoptera,putative homolog identified by pipeline,Found by HMMER
TSA,GAPE01019095.1,Brassicogethes aeneus,Nitidulidae,Coleoptera,putative homolog identified by pipeline,Found by HMMER
TSA,GBCX01024638.1_7.1,Dastarcus helophoroides,Bothrideridae,Coleoptera,putative homolog identified by pipeline,Found by BLAST / Sequence recomposed from two transcripts: GBCX01024638.1 and GBCX01024637.1
TSA,GAKJ01010751.1,Sitodiplosis mosellana,Cecidomyiidae,Diptera,putative homolog identified by pipeline,Found by HMMER
TSA,GAWM01006639.1,Culicoides sonorensis,Ceratopogonidae,Diptera,putative homolog identified by pipeline,Found by HMMER
TSA,GAMD01000859.1,Anopheles aquasalis,Culicidae,Diptera,putative homolog identified by pipeline,Found by HMMER
TSA,GBEO01001325.1,Anopheles sinensis,Culicidae,Diptera,putative homolog identified by pipeline,Found by HMMER
TSA,GAKP01002609.1,Bactrocera dorsalis,Tephritidae,Diptera,putative homolog identified by pipeline,Found by HMMER
TSA,GAXM01030263.1,Mischocyttarus flavitarsis,Vespidae,Hymenoptera,putative homolog identified by pipeline,Found by HMMER
